country,Exports of goods and services (% of GDP)
"Egypt, Arab Rep.",18.9119754811376
El Salvador,28.9343737810256
Equatorial Guinea,59.6145347244398
Estonia,74.3238978479862
Eswatini,40.4436274589204
Ethiopia,8.37267586646371
Faroe Islands,52.8180066352782
Fiji,47.7487957958311
Finland,38.4687872116233
France,31.7136672102555
Gabon,54.2990764910062
"Gambia, The",21.7264294987761
Georgia,50.5585276931977
Germany,47.3088591421652
Ghana,33.4548958825786
Greece,38.9929061011015
Greenland,44.4545789045455
Guam,19.2371202113606
Guatemala,18.1693265265636
Guinea,40.2070955328741
Guinea-Bissau,25.2760949743129
Haiti,10.8161897340876
Honduras,41.4548165613247
"Hong Kong SAR, China",188.339507002291
Hungary,83.7558447990519
Iceland,46.6343008224189
India,19.9278285988562
Indonesia,21.0027464972455
"Iran, Islamic Rep.",30.2177517344562
Iraq,40.8026420265318
Ireland,122.784715063326
Israel,29.8939141012579
Italy,31.3535542007886
Jamaica,38.5638482851901
Japan,18.3260176546997
Jordan,34.7991159622944
Kazakhstan,37.6252184252873
Kenya,12.541975333359
Kiribati,10.7704228301635
"Korea, Rep.",41.7132908430894
Kosovo,29.0534647196644
Kuwait,57.4954948554217
Kyrgyz Republic,31.6017300051143
Latvia,61.4589417496788
Lebanon,20.7545211582482
Lesotho,48.8621368201856
Libya,39.6135044170514
Lithuania,75.2054048902229
Luxembourg,197.501337465788
"Macao SAR, China",82.5299193561036
Madagascar,31.5360236543653
Malaysia,68.5549400453114
Maldives,70.1131851868006
Mali,24.5223744016967
Malta,145.221150135083
Marshall Islands,39.8470142646659
Mauritania,36.5862504012937
Mauritius,46.0962669509066
Mexico,39.2575517289021
"Micronesia, Fed. Sts.",35.4747304458985
Moldova,30.138704886374
Mongolia,58.1647822763909
Montenegro,42.8750002680603
Morocco,33.8284373726717
Mozambique,44.8700028830136
Myanmar,28.3597133642041
Namibia,35.8825652093665
Nauru,57.5
Nepal,7.81564102212329
Netherlands,84.6834636757465
New Zealand,27.8715229150548
Nicaragua,42.2771467780081
Niger,11.8352698611252
Nigeria,15.4968891804996
North Macedonia,60.3751373173263
Northern Mariana Islands,50.7680491551459
Norway,37.9716930695855
Oman,50.6213051386994
Pakistan,8.58179970762808
Panama,42.7909700382261
Paraguay,36.9452303590837
Peru,25.1921846722472
Philippines,30.2136053733275
Poland,52.7480289263233
