country,GDPpercapita
Jordan,4205.56365350106
Kazakhstan,9812.5958082732
Kenya,1970.10514317888
Kiribati,1432.17898537689
"Korea, Rep.",31902.4169048194
Kosovo,4416.10835754636
Kuwait,30667.3482202553
Kyrgyz Republic,1374.03210467421
Lao PDR,2598.50552320723
Latvia,17945.2222164984
Lebanon,8985.57249887356
Lesotho,1102.56486953249
Liberia,665.878447568436
Libya,10542.1492864798
Liechtenstein,167019.618092859
Lithuania,19595.1415724355
Luxembourg,112621.821337404
"Macao SAR, China",83183.1666089243
Madagascar,512.279659659088
Malawi,584.362867276266
Malaysia,11132.0239344924
Maldives,11118.5565375032
Mali,840.175765032737
Malta,31198.2414453028
Marshall Islands,5188.97111429082
Mauritania,1839.964449578
Mauritius,11405.7268191397
Mexico,10145.1701829207
"Micronesia, Fed. Sts.",3699.08151446862
Moldova,4493.37030323867
Monaco,199377.481831603
Mongolia,4394.94714713374
Montenegro,8909.65333601178
Morocco,3498.57397460938
Mozambique,508.163674567861
Myanmar,1295.2014475589
Namibia,5126.17614357634
Nauru,9786.02652564979
Nepal,1185.68267540752
Netherlands,52476.2732533327
New Caledonia,34797.5186645024
New Zealand,42865.233643554
Nicaragua,1890.27306467363
Niger,550.963555536013
Nigeria,2204.18157415589
North Macedonia,6070.38805358275
Northern Mariana Islands,23707.3288138313
Norway,75719.7528965342
Oman,19132.1522739094
Pakistan,1437.16590678288
Palau,15567.0908684974
Panama,15826.0823544866
Papua New Guinea,2593.80465015989
Paraguay,5807.83879407975
Peru,6955.80995882668
Philippines,3413.84792378255
Poland,15699.9113500703
Portugal,23330.817288932
Puerto Rico,32916.866800639
Qatar,62637.2751084291
Romania,12958.0755553785
Russian Federation,11536.2509765625
Rwanda,806.879981050775
Samoa,4308.27275342784
San Marino,47287.3983949924
Sao Tome and Principe,1991.73826385183
Saudi Arabia,22430.238229402
Senegal,1462.35433280275
Serbia,7417.20364852201
Seychelles,17253.5056614424
Sierra Leone,506.606894364098
Singapore,65831.1894308765
Slovak Republic,19383.4810445228
Slovenia,26016.078683914
Solomon Islands,2398.77275659429
Somalia,405.786763279583
South Africa,6688.78727128797
Spain,29581.5185513299
Sri Lanka,4082.69461963515
St. Kitts and Nevis,23219.3314206225
St. Lucia,11726.7697662964
St. Vincent and the Grenadines,8674.37100857481
Sudan,748.010925292969
Suriname,6690.04478601228
Sweden,51939.4297445291
Switzerland,84121.9310304414
Syrian Arab Republic,1116.67924613649
Tajikistan,889.02026237745
Tanzania,1052.02172851563
Thailand,7630.03960991873
Timor-Leste,1584.26384378261
Togo,875.932659234798
Tonga,4879.0173416227
Trinidad and Tobago,15690.9630955493
Tunisia,3477.88377711232
Turkiye,9103.04337531894
Turkmenistan,7344.64823305792
Turks and Caicos Islands,27795.1485608171
Tuvalu,4949.17388770172
Uganda,823.138950454868
Ukraine,3661.45629882813
United Arab Emirates,45376.1708381558
United Kingdom,42747.080460496
United States,65120.3946628653
Uruguay,17859.9314960921
Uzbekistan,1784.00981608195
Vanuatu,3076.58988588361
Vietnam,3491.09127354876
Virgin Islands (U.S.),38596.0307118282
West Bank and Gaza,3656.85827137011
Zambia,1268.12094056241
Zimbabwe,1421.86859641758
